,keywords,number_of_times_word_appeared,tf,idf,tf_idf
0,cible,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
240,automatisation,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
453,comprend,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
452,relationnelles,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
451,ventuels,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
448,diplômé,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
441,connexion,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
439,capacités,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
437,ouvert,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
436,apply,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
429,grails,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
427,génération,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
424,meilleure,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
423,lettre,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
421,innovante,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
415,ajoutant,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
414,incidences,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
413,famille,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
411,telles,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
409,refonte,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
408,pérennité,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
406,double,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
403,architecture,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
402,toutes,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
399,province,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
398,algorithmes,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
395,infrastructures,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
394,couchdb,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
390,envergure,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
454,preuve,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
455,agricoles,1,3.914353935882883e-05,2.302585092994046,9.013133021466497e-05
