,keywords,number_of_times_word_appeared,tf,idf,tf_idf
1845,ous,74,0.0003417871774383513,0.9942522733438669,0.0003398226781678644
3716,technologies,74,0.0003417871774383513,0.9942522733438669,0.0003398226781678644
1857,année,74,0.0003417871774383513,0.9942522733438669,0.0003398226781678644
4150,one,74,0.0003417871774383513,0.9942522733438669,0.0003398226781678644
1632,yse,73,0.00033716843179729247,1.0078579253996456,0.0003398178761814711
3477,solutions,73,0.00033716843179729247,1.0078579253996456,0.0003398178761814711
1444,spécialité,73,0.00033716843179729247,1.0078579253996456,0.0003398178761814711
3955,gest,73,0.00033716843179729247,1.0078579253996456,0.0003398178761814711
910,ide,75,0.0003464059230794101,0.9808292530117262,0.0003397650627728153
2865,mission,75,0.0003464059230794101,0.9808292530117262,0.0003397650627728153
4509,ee,72,0.0003325496861562337,1.0216512475319812,0.00033974980172788496
3607,www,71,0.0003279309405151749,1.035637489506721,0.0003396175759667136
3754,analyse,71,0.0003279309405151749,1.035637489506721,0.0003396175759667136
3444,multi,71,0.0003279309405151749,1.035637489506721,0.0003396175759667136
1874,gestion,71,0.0003279309405151749,1.035637489506721,0.0003396175759667136
1243,net,77,0.00035564341436152767,0.9545119446943529,0.0003394658870599613
2515,fai,77,0.00035564341436152767,0.9545119446943529,0.0003394658870599613
3712,recherche,77,0.00035564341436152767,0.9545119446943529,0.0003394658870599613
3432,non,77,0.00035564341436152767,0.9545119446943529,0.0003394658870599613
2433,réf,70,0.0003233121948741161,1.0498221244986776,0.00033942029529907507
2737,ile,78,0.0003602621600025865,0.9416085398584451,0.000339225926446285
2560,capgemini,78,0.0003602621600025865,0.9416085398584451,0.000339225926446285
1280,test,78,0.0003602621600025865,0.9416085398584451,0.000339225926446285
3342,echerche,78,0.0003602621600025865,0.9416085398584451,0.000339225926446285
4471,sea,69,0.00031869344923305727,1.0642108619507773,0.00033915703030637815
2606,mise,79,0.0003648809056436453,0.9288695140810153,0.0003389267495226536
4542,recrute,68,0.0003140747035919985,1.07880966137193,0.0003388268246275732
2522,environnement,67,0.0003094559579509397,1.0936247471570706,0.00033842869377034547
934,web,81,0.0003741183969257629,0.9038682118755978,0.0003381537264590545
350,auto,81,0.0003741183969257629,0.9038682118755978,0.0003381537264590545
2241,fonctionne,66,0.0003048372123098809,1.1086626245216111,0.00033796162385132413
3330,site,66,0.0003048372123098809,1.1086626245216111,0.00033796162385132413
129,postuler,66,0.0003048372123098809,1.1086626245216111,0.00033796162385132413
4367,environ,82,0.0003787371425668217,0.8915981192837835,0.00033768132401549244
1235,end,82,0.0003787371425668217,0.8915981192837835,0.00033768132401549244
2741,job,65,0.00030021846666882207,1.1239300966523995,0.00033742457025992437
4020,sein,65,0.00030021846666882207,1.1239300966523995,0.00033742457025992437
180,local,65,0.00030021846666882207,1.1239300966523995,0.00033742457025992437
2660,univ,83,0.0003833558882078805,0.8794767587514388,0.0003371525940093457
4285,dis,83,0.0003833558882078805,0.8794767587514388,0.0003371525940093457
2231,leader,64,0.0002955997210277633,1.1394342831883648,0.00033681645623995004
2595,loi,64,0.0002955997210277633,1.1394342831883648,0.00033681645623995004
3662,permet,64,0.0002955997210277633,1.1394342831883648,0.00033681645623995004
4045,localisation,63,0.0002909809753867045,1.155182640156504,0.00033613617138252797
4416,référence,63,0.0002909809753867045,1.155182640156504,0.00033613617138252797
3577,cherché,63,0.0002909809753867045,1.155182640156504,0.00033613617138252797
1118,technologie,85,0.00039259337948999813,0.8556661100577203,0.0003359288498626211
1308,expérience,85,0.00039259337948999813,0.8556661100577203,0.0003359288498626211
4075,http,85,0.00039259337948999813,0.8556661100577203,0.0003359288498626211
1865,position,62,0.00028636222974564565,1.171182981502945,0.00033538257002333665
1697,compétence,62,0.00028636222974564565,1.171182981502945,0.00033538257002333665
60,concept,62,0.00028636222974564565,1.171182981502945,0.00033538257002333665
1868,recherché,62,0.00028636222974564565,1.171182981502945,0.00033538257002333665
2669,jobs,62,0.00028636222974564565,1.171182981502945,0.00033538257002333665
2317,intern,86,0.0003972121251310569,0.843970070294529,0.00033523514516869735
2109,connaissance,86,0.0003972121251310569,0.843970070294529,0.00033523514516869735
1509,secte,61,0.00028174348410458686,1.1874435023747254,0.0003345544695364084
1641,projets,61,0.00028174348410458686,1.1874435023747254,0.0003345544695364084
2278,fonctionn,87,0.0004018308707721157,0.8324092478934529,0.00033448773291978813
3390,sse,87,0.0004018308707721157,0.8324092478934529,0.00033448773291978813
637,rennes,87,0.0004018308707721157,0.8324092478934529,0.00033448773291978813
717,poste,88,0.0004064496164131745,0.8209805520698303,0.00033368723047145875
194,métier,60,0.0002771247384635281,1.2039728043259361,0.0003336506485160255
1583,secteur,60,0.0002771247384635281,1.2039728043259361,0.0003336506485160255
876,outils,60,0.0002771247384635281,1.2039728043259361,0.0003336506485160255
4514,besoin,60,0.0002771247384635281,1.2039728043259361,0.0003336506485160255
1761,rer,89,0.00041106836205423333,0.8096809968158969,0.00033283424114754963
2905,pi,89,0.00041106836205423333,0.8096809968158969,0.00033283424114754963
1336,renn,89,0.00041106836205423333,0.8096809968158969,0.00033283424114754963
4388,comm,89,0.00041106836205423333,0.8096809968158969,0.00033283424114754963
1179,analy,90,0.0004156871076952921,0.7985076962177716,0.00033192935471319644
2318,cs,58,0.00026788724718141045,1.2378743560016172,0.0003316107535857345
3400,qualité,58,0.00026788724718141045,1.2378743560016172,0.0003316107535857345
1499,git,58,0.00026788724718141045,1.2378743560016172,0.0003316107535857345
4024,commun,58,0.00026788724718141045,1.2378743560016172,0.0003316107535857345
2153,connaiss,91,0.0004203058533363509,0.7874578600311867,0.0003309731478268247
528,date,91,0.0004203058533363509,0.7874578600311867,0.0003309731478268247
3902,lan,91,0.0004203058533363509,0.7874578600311867,0.0003309731478268247
1664,offre,91,0.0004203058533363509,0.7874578600311867,0.0003309731478268247
382,euros,57,0.00026326850154035166,1.2552660987134865,0.0003304720248427027
2461,etude,57,0.00026326850154035166,1.2552660987134865,0.0003304720248427027
3410,sec,92,0.0004249245989774097,0.7765287894989963,0.0003299661844722744
3270,type,92,0.0004249245989774097,0.7765287894989963,0.0003299661844722744
3907,chif,56,0.0002586497558992929,1.2729656758128876,0.00032925226131718174
2508,applications,56,0.0002586497558992929,1.2729656758128876,0.00032925226131718174
2891,données,93,0.00042954334461846853,0.7657178733947807,0.00032890901637213515
2990,contact,55,0.0002540310102582341,1.2909841813155658,0.0003279500158069924
3591,collaborateurs,55,0.0002540310102582341,1.2909841813155658,0.0003279500158069924
976,java,94,0.0004341620902595273,0.7550225842780328,0.00032780218338330087
1839,durée,95,0.0004387808359005861,0.7444404749474958,0.0003266462138756915
1995,able,95,0.0004387808359005861,0.7444404749474958,0.0003266462138756915
1383,donnée,95,0.0004387808359005861,0.7444404749474958,0.0003266462138756915
4439,fonctionnel,54,0.00024941226461717525,1.3093333199837622,0.0003265637884758747
3337,univers,54,0.00024941226461717525,1.3093333199837622,0.0003265637884758747
1698,sh,54,0.00024941226461717525,1.3093333199837622,0.0003265637884758747
1639,nov,54,0.00024941226461717525,1.3093333199837622,0.0003265637884758747
150,mars,54,0.00024941226461717525,1.3093333199837622,0.0003265637884758747
189,donné,96,0.00044339958154164495,0.7339691750802005,0.00032544162509502727
1141,affaire,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
3041,intégration,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
2759,chiffre,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
2258,conception,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
2133,différent,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
385,années,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
3693,base,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
3884,participe,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
1758,tests,53,0.00024479351897611646,1.3280254529959148,0.0003250920239287211
887,outil,97,0.00044801832718270373,0.7236063880446537,0.00032418892351048417
3152,compétences,52,0.00024017477333505767,1.3470736479666094,0.0003235331080660097
2845,anonymous,52,0.00024017477333505767,1.3470736479666094,0.0003235331080660097
1808,affaires,52,0.00024017477333505767,1.3470736479666094,0.0003235331080660097
2271,place,52,0.00024017477333505767,1.3470736479666094,0.0003235331080660097
2699,sance,98,0.0004526370728237625,0.7133498878774648,0.00032288860514801483
